[Example 1]
state: (8, 0, 0, 17) | action: 2
state: (8, 0, 0, 16) | action: 2
state: (8, 0, 0, 15) | action: 0
state: (6, 0, 0, 15) | action: 2
state: (6, 0, 0, 14) | action: 2
state: (6, 0, 0, 13) | action: 2
state: (6, 0, 0, 12) | action: 2
state: (6, 0, 0, 11) | action: 0
state: (4, 0, 0, 11) | action: 2
state: (4, 0, 0, 10) | action: 2
state: (4, 0, 0, 9) | action: 2
state: (4, 0, 0, 8) | action: 2
state: (4, 0, 0, 7) | action: 0
state: (2, 0, 0, 7) | action: 2
state: (2, 0, 0, 6) | action: 2
state: (2, 0, 0, 5) | action: 2
state: (2, 0, 0, 4) | action: 2
state: (2, 0, 0, 3) | action: 0
state: (0, 0, 0, 3) | action: 2
state: (0, 0, 0, 2) | action: 2
state: (0, 0, 0, 1) | action: 2

[Example 11]
state: (6, 9, 32, 20) | action: 2
state: (6, 9, 30, 19) | action: 2
state: (6, 9, 28, 18) | action: 2
state: (6, 9, 26, 17) | action: 2
state: (6, 9, 24, 16) | action: 2
state: (6, 9, 22, 15) | action: 2
state: (6, 9, 20, 14) | action: 2
state: (6, 9, 18, 13) | action: 2
state: (6, 9, 16, 12) | action: 2
state: (6, 9, 14, 11) | action: 0
state: (4, 9, 12, 11) | action: 2
state: (4, 9, 10, 10) | action: 2
state: (4, 9, 8, 9) | action: 2
state: (4, 9, 6, 8) | action: 2
state: (4, 9, 4, 7) | action: 1
state: (2, 8, 4, 7) | action: 3
state: (2, 7, 4, 6) | action: 2
state: (2, 7, 2, 5) | action: 3
state: (2, 6, 2, 4) | action: 3
state: (2, 5, 2, 3) | action: 1
state: (0, 4, 2, 3) | action: 3
state: (0, 3, 2, 2) | action: 2
state: (0, 3, 0, 1) | action: 3
state: (0, 2, 0, 0) | action: 1
state: (0, 1, 0, 0) | action: 1

[Example 12]
state: (14, 11, 41, 26) | action: 0
state: (12, 11, 39, 26) | action: 2
state: (12, 11, 37, 25) | action: 2
state: (12, 11, 35, 24) | action: 2
state: (12, 11, 33, 23) | action: 0
state: (10, 11, 31, 23) | action: 2
state: (10, 11, 29, 22) | action: 2
state: (10, 11, 27, 21) | action: 2
state: (10, 11, 25, 20) | action: 2
state: (10, 11, 23, 19) | action: 0
state: (8, 11, 21, 19) | action: 2
state: (8, 11, 19, 18) | action: 2
state: (8, 11, 17, 17) | action: 2
state: (8, 11, 15, 16) | action: 2
state: (8, 11, 13, 15) | action: 0
state: (6, 11, 11, 15) | action: 2
state: (6, 11, 9, 14) | action: 2
state: (6, 11, 7, 13) | action: 2
state: (6, 11, 5, 12) | action: 3
state: (6, 10, 5, 11) | action: 1
state: (4, 9, 5, 11) | action: 2
state: (4, 9, 3, 10) | action: 3
state: (4, 8, 3, 9) | action: 3
state: (4, 7, 3, 8) | action: 3
state: (4, 6, 3, 7) | action: 1
state: (2, 5, 3, 7) | action: 2
state: (2, 5, 1, 6) | action: 3
state: (2, 4, 1, 5) | action: 3
state: (2, 3, 1, 4) | action: 3
state: (2, 2, 1, 3) | action: 1
state: (0, 1, 1, 3) | action: 2
state: (0, 1, 0, 2) | action: 3
state: (0, 0, 0, 1) | action: 2

[Example 13]
state: (3, 14, 8, 26) | action: 2
state: (3, 14, 6, 25) | action: 3
state: (3, 13, 6, 24) | action: 3
state: (3, 12, 6, 23) | action: 3
state: (3, 11, 6, 22) | action: 2
state: (3, 11, 4, 21) | action: 3
state: (3, 10, 4, 20) | action: 3
state: (3, 9, 4, 19) | action: 3
state: (3, 8, 4, 18) | action: 3
state: (3, 7, 4, 17) | action: 2
state: (3, 7, 2, 16) | action: 3
state: (3, 6, 2, 15) | action: 3
state: (3, 5, 2, 14) | action: 3
state: (3, 4, 2, 13) | action: 3
state: (3, 3, 2, 12) | action: 2
state: (3, 3, 0, 11) | action: 3
state: (3, 2, 0, 10) | action: 3
state: (3, 1, 0, 9) | action: 3
state: (3, 0, 0, 8) | action: 2
state: (3, 0, 0, 7) | action: 2
state: (3, 0, 0, 6) | action: 2
state: (3, 0, 0, 5) | action: 0
state: (1, 0, 0, 5) | action: 2
state: (1, 0, 0, 4) | action: 2
state: (1, 0, 0, 3) | action: 2
state: (1, 0, 0, 2) | action: 2
state: (1, 0, 0, 1) | action: 0
state: (0, 0, 0, 1) | action: 2

[Example 14]
state: (39, 25, 12, 20) | action: 1
state: (37, 24, 12, 20) | action: 1
state: (35, 23, 12, 20) | action: 0
state: (33, 23, 10, 20) | action: 1
state: (31, 22, 10, 20) | action: 1
state: (29, 21, 10, 20) | action: 1
state: (27, 20, 10, 20) | action: 1
state: (25, 19, 10, 20) | action: 0
state: (23, 19, 8, 20) | action: 1
state: (21, 18, 8, 20) | action: 1
state: (19, 17, 8, 20) | action: 1
state: (17, 16, 8, 20) | action: 1
state: (15, 15, 8, 20) | action: 0
state: (13, 15, 6, 20) | action: 1
state: (11, 14, 6, 20) | action: 1
state: (9, 13, 6, 20) | action: 3
state: (9, 12, 6, 19) | action: 3
state: (9, 11, 6, 18) | action: 2
state: (9, 11, 4, 17) | action: 1
state: (7, 10, 4, 17) | action: 3
state: (7, 9, 4, 16) | action: 3
state: (7, 8, 4, 15) | action: 3
state: (7, 7, 4, 14) | action: 2
state: (7, 7, 2, 13) | action: 1
state: (5, 6, 2, 13) | action: 3
state: (5, 5, 2, 12) | action: 3
state: (5, 4, 2, 11) | action: 3
state: (5, 3, 2, 10) | action: 2
state: (5, 3, 0, 9) | action: 1
state: (3, 2, 0, 9) | action: 3
state: (3, 1, 0, 8) | action: 3
state: (3, 0, 0, 7) | action: 2
state: (3, 0, 0, 6) | action: 2
state: (3, 0, 0, 5) | action: 0
state: (1, 0, 0, 5) | action: 2
state: (1, 0, 0, 4) | action: 2
state: (1, 0, 0, 3) | action: 2
state: (1, 0, 0, 2) | action: 2
state: (1, 0, 0, 1) | action: 0
state: (0, 0, 0, 1) | action: 2

[Example 15]
state: (34, 19, 15, 22) | action: 0
state: (32, 19, 13, 22) | action: 0
state: (30, 19, 11, 22) | action: 0
state: (28, 19, 9, 22) | action: 1
state: (26, 18, 9, 22) | action: 1
state: (24, 17, 9, 22) | action: 0
state: (22, 17, 7, 22) | action: 1
state: (20, 16, 7, 22) | action: 1
state: (18, 15, 7, 22) | action: 1
state: (16, 14, 7, 22) | action: 1
state: (14, 13, 7, 22) | action: 0
state: (12, 13, 5, 22) | action: 1
state: (10, 12, 5, 22) | action: 3
state: (10, 11, 5, 21) | action: 3
state: (10, 10, 5, 20) | action: 3
state: (10, 9, 5, 19) | action: 0
state: (8, 9, 3, 19) | action: 3
state: (8, 8, 3, 18) | action: 3
state: (8, 7, 3, 17) | action: 3
state: (8, 6, 3, 16) | action: 3
state: (8, 5, 3, 15) | action: 0
state: (6, 5, 1, 15) | action: 3
state: (6, 4, 1, 14) | action: 3
state: (6, 3, 1, 13) | action: 3
state: (6, 2, 1, 12) | action: 3
state: (6, 1, 1, 11) | action: 0
state: (4, 1, 0, 11) | action: 3
state: (4, 0, 0, 10) | action: 2
state: (4, 0, 0, 9) | action: 2
state: (4, 0, 0, 8) | action: 2
state: (4, 0, 0, 7) | action: 0
state: (2, 0, 0, 7) | action: 2
state: (2, 0, 0, 6) | action: 2
state: (2, 0, 0, 5) | action: 2
state: (2, 0, 0, 4) | action: 2
state: (2, 0, 0, 3) | action: 0
state: (0, 0, 0, 3) | action: 2
state: (0, 0, 0, 2) | action: 2
state: (0, 0, 0, 1) | action: 2

[Example 16]
state: (18, 12, 13, 25) | action: 0
state: (16, 12, 11, 25) | action: 0
state: (14, 12, 9, 25) | action: 0
state: (12, 12, 7, 25) | action: 2
state: (12, 12, 5, 24) | action: 3
state: (12, 11, 5, 23) | action: 1
state: (10, 10, 5, 23) | action: 3
state: (10, 9, 5, 22) | action: 2
state: (10, 9, 3, 21) | action: 3
state: (10, 8, 3, 20) | action: 3
state: (10, 7, 3, 19) | action: 1
state: (8, 6, 3, 19) | action: 3
state: (8, 5, 3, 18) | action: 2
state: (8, 5, 1, 17) | action: 3
state: (8, 4, 1, 16) | action: 3
state: (8, 3, 1, 15) | action: 1
state: (6, 2, 1, 15) | action: 3
state: (6, 1, 1, 14) | action: 2
state: (6, 1, 0, 13) | action: 3
state: (6, 0, 0, 12) | action: 2
state: (6, 0, 0, 11) | action: 0
state: (4, 0, 0, 11) | action: 2
state: (4, 0, 0, 10) | action: 2
state: (4, 0, 0, 9) | action: 2
state: (4, 0, 0, 8) | action: 2
state: (4, 0, 0, 7) | action: 0
state: (2, 0, 0, 7) | action: 2
state: (2, 0, 0, 6) | action: 2
state: (2, 0, 0, 5) | action: 2
state: (2, 0, 0, 4) | action: 2
state: (2, 0, 0, 3) | action: 0
state: (0, 0, 0, 3) | action: 2
state: (0, 0, 0, 2) | action: 2
state: (0, 0, 0, 1) | action: 2

[Example 17]
state: (18, 1, 5, 21) | action: 0
state: (16, 1, 3, 21) | action: 0
state: (14, 1, 1, 21) | action: 0
state: (12, 1, 0, 21) | action: 1
state: (10, 0, 0, 21) | action: 2
state: (10, 0, 0, 20) | action: 2
state: (10, 0, 0, 19) | action: 0
state: (8, 0, 0, 19) | action: 2
state: (8, 0, 0, 18) | action: 2
state: (8, 0, 0, 17) | action: 2
state: (8, 0, 0, 16) | action: 2
state: (8, 0, 0, 15) | action: 0
state: (6, 0, 0, 15) | action: 2
state: (6, 0, 0, 14) | action: 2
state: (6, 0, 0, 13) | action: 2
state: (6, 0, 0, 12) | action: 2
state: (6, 0, 0, 11) | action: 0
state: (4, 0, 0, 11) | action: 2
state: (4, 0, 0, 10) | action: 2
state: (4, 0, 0, 9) | action: 2
state: (4, 0, 0, 8) | action: 2
state: (4, 0, 0, 7) | action: 0
state: (2, 0, 0, 7) | action: 2
state: (2, 0, 0, 6) | action: 2
state: (2, 0, 0, 5) | action: 2
state: (2, 0, 0, 4) | action: 2
state: (2, 0, 0, 3) | action: 0
state: (0, 0, 0, 3) | action: 2
state: (0, 0, 0, 2) | action: 2
state: (0, 0, 0, 1) | action: 2

[Example 18]
state: (32, 7, 46, 8) | action: 0
state: (30, 7, 44, 8) | action: 0
state: (28, 7, 42, 8) | action: 0
state: (26, 7, 40, 8) | action: 0
state: (24, 7, 38, 8) | action: 0
state: (22, 7, 36, 8) | action: 0
state: (20, 7, 34, 8) | action: 0
state: (18, 7, 32, 8) | action: 0
state: (16, 7, 30, 8) | action: 0
state: (14, 7, 28, 8) | action: 0
state: (12, 7, 26, 8) | action: 0
state: (10, 7, 24, 8) | action: 0
state: (8, 7, 22, 8) | action: 0
state: (6, 7, 20, 8) | action: 0
state: (4, 7, 18, 8) | action: 2
state: (4, 7, 16, 7) | action: 0
state: (2, 7, 14, 7) | action: 2
state: (2, 7, 12, 6) | action: 2
state: (2, 7, 10, 5) | action: 2
state: (2, 7, 8, 4) | action: 2
state: (2, 7, 6, 3) | action: 0
state: (0, 7, 4, 3) | action: 2
state: (0, 7, 2, 2) | action: 3
state: (0, 6, 2, 1) | action: 3
state: (0, 5, 2, 0) | action: 1
state: (0, 4, 2, 0) | action: 1
state: (0, 3, 2, 0) | action: 0
state: (0, 3, 0, 0) | action: 1
state: (0, 2, 0, 0) | action: 1
state: (0, 1, 0, 0) | action: 1

[Example 19]
state: (30, 19, 47, 21) | action: 0
state: (28, 19, 45, 21) | action: 0
state: (26, 19, 43, 21) | action: 0
state: (24, 19, 41, 21) | action: 0
state: (22, 19, 39, 21) | action: 0
state: (20, 19, 37, 21) | action: 0
state: (18, 19, 35, 21) | action: 0
state: (16, 19, 33, 21) | action: 0
state: (14, 19, 31, 21) | action: 0
state: (12, 19, 29, 21) | action: 0
state: (10, 19, 27, 21) | action: 2
state: (10, 19, 25, 20) | action: 2
state: (10, 19, 23, 19) | action: 0
state: (8, 19, 21, 19) | action: 2
state: (8, 19, 19, 18) | action: 2
state: (8, 19, 17, 17) | action: 2
state: (8, 19, 15, 16) | action: 2
state: (8, 19, 13, 15) | action: 0
state: (6, 19, 11, 15) | action: 2
state: (6, 19, 9, 14) | action: 3
state: (6, 18, 9, 13) | action: 3
state: (6, 17, 9, 12) | action: 2
state: (6, 17, 7, 11) | action: 1
state: (4, 16, 7, 11) | action: 3
state: (4, 15, 7, 10) | action: 3
state: (4, 14, 7, 9) | action: 3
state: (4, 13, 7, 8) | action: 2
state: (4, 13, 5, 7) | action: 1
state: (2, 12, 5, 7) | action: 3
state: (2, 11, 5, 6) | action: 3
state: (2, 10, 5, 5) | action: 3
state: (2, 9, 5, 4) | action: 2
state: (2, 9, 3, 3) | action: 1
state: (0, 8, 3, 3) | action: 3
state: (0, 7, 3, 2) | action: 3
state: (0, 6, 3, 1) | action: 3
state: (0, 5, 3, 0) | action: 0
state: (0, 5, 1, 0) | action: 1
state: (0, 4, 1, 0) | action: 1
state: (0, 3, 1, 0) | action: 1
state: (0, 2, 1, 0) | action: 1
state: (0, 1, 1, 0) | action: 0
state: (0, 1, 0, 0) | action: 1

[Example 20]
state: (33, 30, 34, 6) | action: 0
state: (31, 30, 32, 6) | action: 0
state: (29, 30, 30, 6) | action: 0
state: (27, 30, 28, 6) | action: 0
state: (25, 30, 26, 6) | action: 0
state: (23, 30, 24, 6) | action: 0
state: (21, 30, 22, 6) | action: 2
state: (21, 30, 20, 5) | action: 0
state: (19, 30, 18, 5) | action: 0
state: (17, 30, 16, 5) | action: 0
state: (15, 30, 14, 5) | action: 1
state: (13, 29, 14, 5) | action: 1
